Country Name,Time,Forest area (% of land area),GDP growth (annual %),"Unemployment, total (% of total)","Water productivity, total ","Population, total ",Net migration,Current health expenditure (% of GDP) ,Domestic general government health expenditure (% of GDP)
India,2008,23.24607576,3.08669806,8.354,2.050406981,1206734806,-846785,3.51468062,0.79527897
Ireland,2008,10.1956162,-4.484070492,6.77,295.1519088,4489544,19349,9.12564754,7.23859835
United States,2008,33.6360635,0.122188443,5.78,36.99115758,304093966,1095864,15.20489883,7.22391701
United Arab Emirates,2008,4.445592791,3.191836276,2.721,107.8655179,6988685,1040422,2.92847514,1.87159979
United Kingdom,2008,12.5573513,-0.154344315,5.62,325.8625109,61806995,283762,9.02258778,7.34308386
Sri Lanka,2008,33.74549514,5.950088145,5.22,4.31868582,20285643,-11557,3.98465228,1.7221359
Singapore,2008,25.13571429,1.863483455,3.96,126.4664818,4839396,145016,3.19488454,1.19189203
Philippines,2008,23.25394238,4.344487305,3.72,2.545290543,91252326,-190626,3.86315918,1.16428423
Qatar,2008,0,17.66355636,0.31,380.6855059,1444277,192654,1.63775349,1.22314608
New Zealand,2008,37.40300027,-1.210711596,4.17,30.04275052,4259800,4679,9.12382889,7.08283758
India,2009,23.31014836,7.861888833,8.384,2.198862586,1223640160,-803437,3.48537874,0.89261258
Ireland,2009,10.32628829,-5.095782755,12.61,275.1162234,4535375,-18556,10.52275753,8.11006927
United States,2009,33.69273522,-2.599888351,9.25,37.02978158,306771529,1031010,16.19877434,7.85959625
United Arab Emirates,2009,4.456674176,-5.242921907,2.668,103.1780345,7992644,783241,4.04999304,2.98414969
United Kingdom,2009,12.60075228,-4.5104856,7.54,313.6445267,62276270,284800,10.03383827,8.13016987
Sri Lanka,2009,33.64535162,3.538912053,5.85,4.471520313,20482477,5484,4.19339228,1.70255017
Singapore,2009,25.23957143,0.127953383,5.86,142.8330879,4987573,142947,3.39853096,1.18541074
Philippines,2009,23.09646846,1.448323063,3.86,2.611694401,92946951,-232359,4.16451931,1.27640796
Qatar,2009,0,11.95656113,0.31,418.6307403,1610274,111510,2.38356304,1.69266617
New Zealand,2009,37.40211918,-0.11206763,6.12,29.58040204,4302600,12403,9.62076378,7.4772172
India,2010,23.37422095,8.497584702,8.319,2.372043123,1240613620,-380087,3.27211928,0.85750186
Ireland,2010,10.45696037,1.682971538,14.53,254.6989029,4560155,-27110,10.5258255,8.01833725
United States,2010,33.74940694,2.708856694,9.63,39.12834262,309327143,1030731,16.19557953,7.91452122
United Arab Emirates,2010,4.467755562,1.602850048,2.464,105.8339581,8481771,-13726,3.87873054,2.7482419
United Kingdom,2010,12.64415327,2.430072895,7.79,321.9271991,62766365,281588,9.95166206,8.04831886
Sri Lanka,2010,33.5452081,8.01596737,4.78,4.829955923,20668557,-26603,3.86745572,1.56387675
Singapore,2010,25.27122507,14.51974971,4.12,187.5765035,5076732,109045,3.20265388,1.14910603
Philippines,2010,22.93899453,7.33449996,3.61,2.745449134,94636700,-183268,4.13107872,1.31791425
Qatar,2010,0,19.59233153,0.45,491.9112573,1713504,64531,1.87017763,1.32764482
New Zealand,2010,37.40123808,1.466751165,6.56,29.59155701,4350700,6258,9.59277534,7.50836039
India,2011,23.46382169,5.241315001,8.168,2.496369375,1257621191,-244114,3.24634218,0.93731916
Ireland,2011,10.55651038,0.833830149,15.35,235.7173995,4580084,-26351,10.6313448,7.64333248
United States,2011,33.77947006,1.54989495,8.95,39.24558275,311583481,1322433,16.13764381,7.89911222
United Arab Emirates,2011,4.467755562,6.928508595,2.284,114.2589254,8575205,-15738,3.67006993,2.65790033
United Kingdom,2011,12.72351507,1.067610914,8.04,349.8775748,63258810,277521,9.91592121,8.01995087
Sri Lanka,2011,33.62557806,8.669483012,4.12,5.248688131,20859743,-13277,3.71693707,1.58128619
Singapore,2011,24.83892045,6.214934169,3.89,233.5007919,5183688,72396,3.15792179,1.17214501
Philippines,2011,23.0559949,3.858232828,3.59,2.824712958,96337913,-103875,4.02518559,1.06190181
Qatar,2011,0,13.37517641,0.56,548.1373483,1804171,82815,1.599962,1.17667866
New Zealand,2011,37.40009115,2.221579823,6.49,24.6997136,4384000,-2405,9.51987362,7.49986553
India,2012,23.55342242,5.456388753,8.095,2.632580993,1274487215,-180991,3.32935286,0.93186861
Ireland,2012,10.65606039,-0.005542011,15.45,217.8054462,4599533,-22002,10.62784767,7.62500095
United States,2012,33.80953318,2.280687603,8.07,39.66169965,313877662,1323368,16.11693954,7.87175035
United Arab Emirates,2012,4.467755562,4.776625734,2.171,120.8833784,8664969,-16401,3.4251945,2.48480034
United Kingdom,2012,12.80287687,1.448456757,7.88,340.2464015,63700215,272601,9.93235588,8.00758743
Sri Lanka,2012,33.70594801,8.632181377,3.88,5.70176441,21017147,-97095,3.40384603,1.43723977
Singapore,2012,24.40906516,4.435497594,3.72,285.9228937,5312437,67992,3.32783675,1.30787134
Philippines,2012,23.17299527,6.896951711,3.5,3.012758099,98032317,-156051,4.17709208,1.09802592
Qatar,2012,0,4.730011844,0.48,564.3818595,1905660,83444,1.74822152,1.38358474
New Zealand,2012,37.39894421,2.273031482,6.93,21.34529962,4408100,-1539,9.65163612,7.57742262
India,2013,23.64302315,6.386106401,8.037,2.800700417,1291132063,-236387,3.74944186,0.86504197
Ireland,2013,10.75561039,1.125689646,13.73,204.711872,4623816,-12015,10.30873108,7.27710915
United States,2013,33.8395963,1.841875395,7.37,39.91594764,316059947,1320840,15.98693848,7.91718674
United Arab Emirates,2013,4.467755562,5.055559658,2.032,128.2445526,8751847,-15566,3.59299517,2.58594084
United Kingdom,2013,12.88223866,1.819863375,7.52,363.0109557,64128273,268067,9.84154701,7.91318083
Sri Lanka,2013,33.78631797,4.05174633,4.24,5.932785441,21131756,-97189,3.82699037,1.73812664
Singapore,2013,24.0155587,4.817630991,3.86,362.1718356,5399162,67504,3.68562651,1.53696907
Philippines,2013,23.28999564,6.750531301,3.5,3.20855643,99700107,-199869,4.27408695,1.1204468
Qatar,2013,0,5.556040643,0.28,585.8577803,2035501,137597,2.07620168,1.74754512
New Zealand,2013,37.39779727,2.764920987,5.84,18.99151788,4442100,22547,9.36019325,7.2670989
India,2014,23.73262388,7.410227605,7.981,3.008238692,1307246509,-310694,3.61956549,0.85653549
Ireland,2014,10.8551604,8.649350608,11.86,207.7551126,4657740,714,9.54538631,6.77773857
